"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"ГВСД";"+7 (499) 267-36-20";"";"7709919968";"1127747295686";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.758 37.664";"Московское время";
"Нипигаз";"+7 (495) 730-58-87";"";"7736291457";"1177746174165";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.653 37.538";"Московское время";
"Геогаз";"+7 (495) 107-95-11";"";"7701894327";"1107746866160";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.703 37.623";"Московское время";
"Облгаз-сервис 2009";"+7 (499) 235-53-31, +7 (499) 579-32-27";"+7 (916) 722-33-09";"7725651972";"5087746614566";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.730 37.646";"Московское время";
"Газрегион";"+7 (495) 730-09-97, +7 (495) 780-51-91, +7 (495) 642-51-93";"+7 (901) 572-04-04";"7729657870";"1107746473284";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.708 37.597, 55.682 37.633, 55.727 37.632";"Московское время";
"Ремонтное Сообщество";"+7 (495) 740-09-49";"";"7716239770";"1107799026830";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.765 37.656";"Московское время";
"Аварийные службы(МЧС)";"";"";"";"";"";"";"";"";"";"";"";""
"Гормост, ГБУ";"+7 (495) 915-08-47";"";"7705408225";"1027739668945";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.745 37.655";"Московское время";
"Атлантис БИО, торгово-сервисная компания";"+7 (495) 617-17-28, +7 (495) 798-17-28";"";"7713720910";"5107746051243";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.778 37.665";"Московское время";
"Техноспас, ООО, аварийно-спасательная служба";"+7 (495) 360-81-41";"+7 (903) 960-51-68";"7720661367";"1097746330329";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.766 37.719";"Московское время";
